Opportunity ID,Opportunity Name,Account ID,Owner ID,Stage,Amount,Expected Revenue,Discount,Close Date,Created Date,Lead Source,Customer Type,Probability,
OPP0053,Tabo Beyond,ACC020,U001,Closed Won,49035,49167,1091,10/17/2025,3/2/2026,Email,Existing,1,Invalid
OPP0054,Tabo Beyond,ACC017,U009,Negotiation,10462,9503,1956,5/14/2025,12/21/2025,Referral,New,0.75,Invalid
OPP0055,Tabo Beyond,ACC020,U007,Closed Won,10164,8070,3805,2/20/2026,3/25/2025,Event,Existing,1,Valid
OPP0056,Tabo Dream,ACC014,U006,Closed Won,16186,13056,3219,8/26/2025,5/23/2025,Web,Existing,1,Valid
OPP0057,Tabo Energy,ACC005,U010,Negotiation,14884,11930,4864,4/10/2025,5/14/2025,Cold Call,Existing,0.75,Invalid
OPP0058,Tabo Range,ACC020,U002,Negotiation,42569,40980,2341,1/17/2026,7/10/2025,Referral,Existing,0.75,Valid
OPP0059,Tabo Authority,ACC020,U003,Closed Lost,16608,14006,4371,4/4/2025,3/24/2025,Referral,Existing,0,Valid
OPP0060,Tabo Energy,ACC010,U005,Proposal,21176,19229,3076,3/12/2026,11/15/2025,Web,Existing,0.5,Valid
OPP0061,Tabo Authority,ACC010,U002,Closed Won,41880,43773,93,1/5/2026,3/1/2026,Event,Existing,1,Invalid
OPP0062,Tabo Beyond,ACC020,U008,Closed Lost,15971,13172,4236,8/25/2025,5/16/2025,Cold Call,Existing,0,Valid
OPP0063,Tabo Range,ACC020,U004,Closed Lost,45495,42611,4077,2/8/2026,9/17/2025,Web,Existing,0,Valid
OPP0064,Tabo Beyond,ACC009,U001,Proposal,33627,33059,2259,9/26/2025,1/18/2026,Event,Existing,0.5,Invalid
OPP0065,Tabo Energy,ACC010,U009,Negotiation,30121,28723,3202,8/22/2025,11/26/2025,Email,New,0.75,Invalid
OPP0066,Tabo Generation,ACC009,U008,Closed Won,39989,37904,3229,1/17/2026,8/31/2025,Cold Call,New,1,Valid
OPP0067,Tabo Impact,ACC010,U002,Negotiation,43537,43662,1110,11/25/2025,4/24/2025,Email,New,0.75,Valid
OPP0068,Tabo Authority,ACC010,U007,Negotiation,19434,17331,3339,6/7/2025,10/5/2025,Email,New,0.75,Invalid
OPP0069,Tabo Impact,ACC003,U001,Closed Lost,49993,50475,507,5/20/2025,11/12/2025,Referral,Existing,0,Invalid
OPP0070,Tabo Dream,ACC010,U006,Closed Won,25464,25479,1858,7/11/2025,2/11/2026,Web,Existing,1,Invalid
OPP0071,Tabo Authority,ACC012,U006,Closed Lost,42507,41151,1653,11/21/2025,4/5/2025,Cold Call,Existing,0,Valid
OPP0072,Tabo Impact,ACC018,U004,Proposal,44351,42765,3354,3/14/2026,3/9/2026,Cold Call,Existing,0.5,Valid
OPP0073,Tabo Beyond,ACC010,U001,Negotiation,32040,32024,1487,7/7/2025,1/9/2026,Cold Call,New,0.75,Invalid
OPP0074,Tabo Heavy,ACC017,U004,Negotiation,33256,33931,394,3/13/2026,7/13/2025,Cold Call,New,0.75,Valid
OPP0075,Tabo Generation,ACC015,U001,Closed Lost,20686,18815,3534,11/14/2025,12/14/2025,Web,New,0,Invalid
OPP0076,Tabo Heavy,ACC020,U003,Negotiation,31882,31803,832,4/16/2025,3/19/2025,Event,New,0.75,Valid
OPP0077,Tabo Dream,ACC017,U002,Negotiation,41702,39918,3773,11/27/2025,3/23/2025,Email,Existing,0.75,Valid
OPP0078,Tabo Range,ACC010,U006,Closed Won,21056,17953,4839,7/20/2025,10/20/2025,Cold Call,Existing,1,Invalid
OPP0079,Tabo Range,ACC010,U001,Proposal,19707,16701,4662,10/3/2025,8/6/2025,Event,Existing,0.5,Valid
OPP0080,Tabo Dream,ACC018,U003,Closed Lost,34224,33494,1586,7/27/2025,9/19/2025,Web,New,0,Invalid
OPP0081,Tabo Cold,ACC008,U002,Closed Lost,27542,24146,4725,7/29/2025,2/25/2026,Web,Existing,0,Invalid
OPP0082,Tabo Impact,ACC010,U008,Negotiation,10405,9454,2930,7/27/2025,10/6/2025,Email,New,0.75,Invalid
OPP0083,Tabo Authority,ACC020,U002,Closed Lost,10081,5713,4631,2/5/2026,10/13/2025,Event,Existing,0,Valid
OPP0084,Tabo Cold,ACC007,U005,Closed Won,5444,2031,3474,7/18/2025,4/28/2025,Web,New,1,Valid
OPP0085,Tabo Heavy,ACC017,U007,Proposal,41895,41121,1103,6/2/2025,1/3/2026,Event,Existing,0.5,Invalid
OPP0086,Tabo Generation,ACC010,U001,Closed Lost,44326,45729,13,6/18/2025,8/19/2025,Web,New,0,Invalid
OPP0087,Tabo Authority,ACC010,U005,Negotiation,34623,33044,2869,10/20/2025,9/24/2025,Email,Existing,0.75,Valid
OPP0088,Tabo Authority,ACC014,U006,Negotiation,6462,6650,511,8/22/2025,10/1/2025,Referral,Existing,0.75,Invalid
OPP0089,Tabo Authority,ACC018,U006,Negotiation,36547,34255,2985,8/4/2025,3/5/2026,Referral,New,0.75,Invalid
OPP0090,Tabo Impact,ACC019,U002,Proposal,26193,27440,117,7/18/2025,6/26/2025,Referral,Existing,0.5,Valid
OPP0091,Tabo Dream,ACC017,U006,Closed Won,25299,24424,1375,1/30/2026,9/21/2025,Cold Call,Existing,1,Valid
OPP0092,Tabo Energy,ACC004,U004,Negotiation,18598,14976,4645,8/16/2025,11/6/2025,Event,New,0.75,Invalid
OPP0093,Tabo Generation,ACC010,U001,Closed Lost,37331,34584,3506,12/10/2025,2/8/2026,Email,New,0,Invalid
OPP0094,Tabo Heavy,ACC005,U003,Proposal,9987,7100,3763,4/18/2025,3/16/2026,Email,Existing,0.5,Invalid
OPP0095,Tabo Generation,ACC017,U005,Closed Lost,33997,34913,792,3/7/2026,10/2/2025,Email,New,0,Valid
OPP0096,Tabo Heavy,ACC007,U009,Closed Lost,47095,43715,3449,2/28/2026,8/15/2025,Cold Call,New,0,Valid
OPP0097,Tabo Beyond,ACC019,U007,Closed Lost,48083,48244,1525,5/3/2025,3/16/2025,Event,Existing,0,Valid
OPP0098,Tabo Beyond,ACC020,U005,Negotiation,31430,29204,4208,10/16/2025,6/3/2025,Email,New,0.75,Valid
OPP0099,Tabo Dream,ACC020,U006,Closed Won,22940,22093,2531,7/6/2025,7/11/2025,Email,New,1,Invalid
OPP0100,Tabo Authority,ACC010,U005,Negotiation,25116,26007,1064,8/5/2025,12/19/2025,Referral,Existing,0.75,Invalid
OPP0101,Tabo Cold,ACC010,U004,Negotiation,12923,11791,1194,10/29/2025,6/11/2025,Email,Existing,0.75,Valid
OPP0102,Tabo Dream,ACC020,U003,Proposal,24689,25652,692,9/18/2025,11/6/2025,Event,Existing,0.5,Invalid
OPP0103,Tabo Beyond,ACC006,U005,Proposal,30507,28724,2964,1/5/2026,2/28/2026,Email,New,0.5,Invalid
OPP0104,Tabo Dream,ACC020,U003,Negotiation,11913,11847,830,7/18/2025,10/24/2025,Event,New,0.75,Invalid
OPP0105,Tabo Beyond,ACC017,U003,Negotiation,22106,21963,1859,11/20/2025,4/28/2025,Web,Existing,0.75,Valid
OPP0106,Tabo Generation,ACC011,U009,Closed Won,39111,40338,463,5/29/2025,9/27/2025,Web,New,1,Invalid
OPP0107,Tabo Beyond,ACC017,U010,Proposal,21643,19177,2928,8/14/2025,10/2/2025,Event,New,0.5,Invalid
OPP0108,Tabo Range,ACC017,U009,Closed Won,25872,25235,1824,12/30/2025,12/2/2025,Web,Existing,1,Valid
OPP0109,Tabo Impact,ACC020,U008,Closed Won,18904,18173,1111,2/24/2026,3/12/2026,Web,Existing,1,Invalid
OPP0110,Tabo Energy,ACC020,U003,Closed Lost,14410,12001,2970,11/16/2025,1/25/2026,Cold Call,New,0,Invalid
OPP0111,Tabo Heavy,ACC014,U003,Closed Lost,42895,42249,1209,4/21/2025,6/3/2025,Event,New,0,Invalid
OPP0112,Tabo Beyond,ACC019,U003,Negotiation,9580,8811,2451,12/23/2025,12/23/2025,Event,Existing,0.75,Valid
OPP0113,Tabo Beyond,ACC020,U001,Negotiation,6466,5811,1272,9/4/2025,11/19/2025,Cold Call,Existing,0.75,Invalid
OPP0114,Tabo Range,ACC002,U008,Closed Won,39891,37219,4016,5/17/2025,9/9/2025,Email,Existing,1,Invalid
OPP0115,Tabo Beyond,ACC012,U003,Negotiation,37690,35584,3553,7/9/2025,3/8/2026,Email,New,0.75,Invalid
OPP0116,Tabo Energy,ACC006,U001,Closed Lost,42453,41191,3140,5/18/2025,12/4/2025,Email,New,0,Invalid
OPP0117,Tabo Dream,ACC010,U003,Negotiation,5235,5342,1199,4/18/2025,2/21/2026,Event,New,0.75,Invalid
OPP0118,Tabo Impact,ACC020,U007,Closed Won,10516,10381,1932,1/10/2026,5/10/2025,Event,New,1,Valid
OPP0119,Tabo Beyond,ACC010,U010,Negotiation,8544,7599,1197,1/17/2026,1/22/2026,Cold Call,Existing,0.75,Invalid
OPP0120,Tabo Beyond,ACC010,U005,Negotiation,42456,43456,823,11/5/2025,8/18/2025,Event,Existing,0.75,Valid
OPP0121,Tabo Authority,ACC010,U004,Negotiation,21281,21415,192,8/15/2025,5/27/2025,Web,Existing,0.75,Valid
OPP0122,Tabo Cold,ACC010,U006,Closed Won,36711,34376,3594,4/11/2025,1/17/2026,Cold Call,Existing,1,Invalid
OPP0123,Tabo Dream,ACC020,U007,Negotiation,23350,20947,4175,3/24/2025,3/13/2026,Referral,Existing,0.75,Invalid
OPP0124,Tabo Dream,ACC017,U003,Proposal,19675,16963,3623,5/7/2025,5/8/2025,Event,Existing,0.5,Invalid
OPP0125,Tabo Dream,ACC018,U005,Negotiation,34154,30816,3574,12/12/2025,7/7/2025,Web,Existing,0.75,Valid
OPP0126,Tabo Beyond,ACC012,U002,Closed Won,27697,24066,3696,4/12/2025,6/24/2025,Web,New,1,Invalid
OPP0127,Tabo Heavy,ACC010,U006,Negotiation,43747,40993,2908,7/1/2025,4/15/2025,Referral,New,0.75,Valid
OPP0128,Tabo Authority,ACC017,U002,Closed Lost,7066,7032,433,2/10/2026,9/16/2025,Email,New,0,Valid
OPP0129,Tabo Impact,ACC020,U003,Closed Won,39052,38441,2243,4/16/2025,3/28/2025,Web,New,1,Valid
OPP0130,Tabo Generation,ACC010,U006,Negotiation,29632,28202,1872,6/10/2025,1/14/2026,Web,Existing,0.75,Invalid
OPP0131,Tabo Beyond,ACC017,U002,Negotiation,38123,38760,34,5/25/2025,4/30/2025,Cold Call,Existing,0.75,Valid
OPP0132,Tabo Range,ACC017,U003,Negotiation,9847,11048,146,5/30/2025,6/26/2025,Email,New,0.75,Invalid
OPP0133,Tabo Impact,ACC010,U003,Proposal,33725,33690,242,8/7/2025,1/31/2026,Referral,Existing,0.5,Invalid
OPP0134,Tabo Impact,ACC015,U004,Negotiation,39825,40770,183,11/9/2025,5/19/2025,Referral,Existing,0.75,Valid
OPP0135,Tabo Authority,ACC010,U010,Closed Lost,37016,36936,355,11/12/2025,9/14/2025,Referral,New,0,Valid
OPP0136,Tabo Beyond,ACC009,U007,Closed Won,26628,22439,4808,9/20/2025,6/25/2025,Referral,Existing,1,Valid
OPP0137,Tabo Generation,ACC002,U010,Negotiation,45957,44936,2639,7/17/2025,8/5/2025,Web,Existing,0.75,Invalid
OPP0138,Tabo Impact,ACC020,U002,Negotiation,33538,32267,2743,3/26/2025,8/25/2025,Email,New,0.75,Invalid
OPP0139,Tabo Impact,ACC017,U002,Proposal,30399,30536,252,11/9/2025,2/5/2026,Web,Existing,0.5,Invalid
OPP0140,Tabo Generation,ACC018,U001,Negotiation,17815,18944,150,10/8/2025,11/23/2025,Referral,New,0.75,Invalid
OPP0141,Tabo Range,ACC010,U009,Proposal,29622,28603,1969,6/24/2025,9/27/2025,Referral,Existing,0.5,Invalid
OPP0142,Tabo Energy,ACC011,U007,Closed Won,28975,28628,1231,11/14/2025,5/17/2025,Cold Call,Existing,1,Valid
OPP0143,Tabo Beyond,ACC010,U007,Closed Lost,24174,19961,4425,5/28/2025,6/5/2025,Event,Existing,0,Invalid
OPP0144,Tabo Authority,ACC010,U007,Closed Lost,28046,27160,2474,11/30/2025,8/21/2025,Email,Existing,0,Valid
OPP0145,Tabo Dream,ACC020,U004,Negotiation,40386,41024,78,11/25/2025,2/10/2026,Web,Existing,0.75,Invalid
OPP0146,Tabo Range,ACC006,U004,Closed Lost,20082,19227,2663,11/23/2025,10/12/2025,Referral,Existing,0,Valid
OPP0147,Tabo Impact,ACC003,U003,Closed Won,10993,10360,2355,1/28/2026,12/30/2025,Cold Call,New,1,Valid
OPP0148,Tabo Authority,ACC010,U003,Negotiation,6678,6822,1631,1/20/2026,11/7/2025,Email,New,0.75,Valid
OPP0149,Tabo Authority,ACC010,U010,Proposal,26169,23282,4256,11/17/2025,12/20/2025,Web,Existing,0.5,Invalid
OPP0150,Tabo Energy,ACC020,U008,Proposal,21172,19285,2153,10/10/2025,8/7/2025,Web,New,0.5,Valid
OPP0151,Tabo Authority,ACC008,U010,Negotiation,27023,24914,4061,5/17/2025,1/1/2026,Email,Existing,0.75,Invalid
OPP0152,Tabo Generation,ACC017,U008,Closed Won,45647,41559,4092,9/23/2025,9/5/2025,Email,Existing,1,Valid
OPP0153,Tabo Beyond,ACC017,U005,Closed Lost,9619,6705,4465,3/20/2025,7/27/2025,Cold Call,New,0,Invalid
OPP0154,Tabo Beyond,ACC020,U006,Negotiation,9292,9941,1293,1/2/2026,10/17/2025,Cold Call,New,0.75,Valid
OPP0155,Tabo Dream,ACC020,U006,Closed Lost,33706,34763,798,1/26/2026,8/10/2025,Cold Call,New,0,Valid
OPP0156,Tabo Energy,ACC010,U002,Negotiation,23786,22072,3443,12/5/2025,11/19/2025,Email,New,0.75,Valid
OPP0157,Tabo Authority,ACC020,U004,Negotiation,37097,38802,1,7/24/2025,7/20/2025,Email,New,0.75,Valid
OPP0158,Tabo Beyond,ACC020,U006,Proposal,31849,32476,805,10/10/2025,8/24/2025,Event,New,0.5,Valid
OPP0159,Tabo Beyond,ACC017,U008,Closed Lost,20210,17315,4509,1/22/2026,11/7/2025,Event,Existing,0,Valid
OPP0160,Tabo Energy,ACC017,U010,Closed Won,26860,27746,270,7/9/2025,10/3/2025,Event,Existing,1,Invalid
OPP0161,Tabo Dream,ACC017,U007,Closed Won,38605,37899,1839,12/30/2025,9/1/2025,Referral,New,1,Valid
OPP0162,Tabo Authority,ACC010,U005,Negotiation,46958,44344,4041,3/16/2025,1/23/2026,Event,New,0.75,Invalid
OPP0163,Tabo Beyond,ACC017,U002,Closed Won,24246,22832,2626,9/19/2025,10/19/2025,Email,New,1,Invalid
OPP0164,Tabo Beyond,ACC010,U010,Closed Won,16088,12313,4186,4/2/2025,2/12/2026,Cold Call,Existing,1,Invalid
OPP0165,Tabo Beyond,ACC020,U007,Closed Won,20204,21274,235,9/1/2025,2/17/2026,Cold Call,New,1,Invalid
OPP0166,Tabo Beyond,ACC014,U003,Closed Won,22845,22516,433,5/3/2025,10/20/2025,Cold Call,New,1,Invalid
OPP0167,Tabo Cold,ACC003,U009,Negotiation,45751,45577,1587,6/4/2025,9/9/2025,Email,New,0.75,Invalid
OPP0168,Tabo Heavy,ACC005,U004,Closed Won,25538,23250,2853,12/23/2025,7/18/2025,Event,New,1,Valid
OPP0169,Tabo Cold,ACC017,U006,Proposal,33125,30845,3754,4/19/2025,10/21/2025,Email,Existing,0.5,Invalid
OPP0170,Tabo Authority,ACC017,U008,Proposal,10719,6545,4882,6/23/2025,11/17/2025,Email,Existing,0.5,Invalid
OPP0171,Tabo Generation,ACC017,U006,Closed Won,5997,4167,3534,5/26/2025,12/28/2025,Web,New,1,Invalid
OPP0172,Tabo Authority,ACC003,U003,Closed Won,43739,42065,1698,3/7/2026,3/6/2026,Cold Call,Existing,1,Valid
OPP0173,Tabo Dream,ACC010,U010,Proposal,46925,42489,4743,7/21/2025,7/27/2025,Referral,New,0.5,Invalid
OPP0174,Tabo Beyond,ACC010,U007,Closed Lost,43721,40777,4416,8/9/2025,6/28/2025,Event,New,0,Valid
OPP0175,Tabo Beyond,ACC017,U002,Closed Lost,33541,33136,2188,10/26/2025,9/28/2025,Web,Existing,0,Valid
OPP0176,Tabo Dream,ACC001,U004,Proposal,5590,5592,1445,12/23/2025,2/25/2026,Cold Call,New,0.5,Invalid
OPP0177,Tabo Range,ACC017,U009,Closed Lost,38936,36032,4265,6/7/2025,9/2/2025,Cold Call,Existing,0,Invalid
OPP0178,Tabo Dream,ACC010,U008,Closed Lost,22132,21749,701,8/23/2025,11/12/2025,Email,Existing,0,Invalid
OPP0179,Tabo Authority,ACC017,U010,Closed Won,13967,10620,4708,6/10/2025,2/22/2026,Cold Call,Existing,1,Invalid
OPP0180,Tabo Dream,ACC010,U006,Negotiation,11288,10554,2357,3/5/2026,10/16/2025,Event,Existing,0.75,Valid
OPP0181,Tabo Authority,ACC020,U007,Closed Lost,7186,6768,2099,4/8/2025,10/27/2025,Email,Existing,0,Invalid
OPP0182,Tabo Impact,ACC003,U009,Closed Won,28751,27314,3190,6/20/2025,10/7/2025,Email,Existing,1,Invalid
OPP0183,Tabo Authority,ACC010,U008,Closed Lost,35864,35470,677,2/9/2026,6/13/2025,Web,Existing,0,Valid
OPP0184,Tabo Cold,ACC020,U006,Proposal,34440,31112,4419,11/25/2025,9/12/2025,Referral,New,0.5,Valid
OPP0185,Tabo Impact,ACC016,U010,Proposal,48326,46842,1645,3/27/2025,9/23/2025,Web,New,0.5,Invalid
OPP0186,Tabo Range,ACC020,U005,Negotiation,21115,21529,531,6/23/2025,11/14/2025,Email,New,0.75,Invalid
OPP0187,Tabo Heavy,ACC009,U008,Negotiation,45503,41748,4138,4/11/2025,9/17/2025,Email,Existing,0.75,Invalid
OPP0188,Tabo Beyond,ACC010,U007,Closed Won,24486,23548,2038,11/18/2025,11/2/2025,Referral,New,1,Valid
OPP0189,Tabo Range,ACC010,U004,Closed Lost,20526,17197,4890,4/18/2025,11/1/2025,Cold Call,Existing,0,Invalid
OPP0190,Tabo Energy,ACC010,U007,Closed Lost,25851,25927,877,8/10/2025,8/21/2025,Email,Existing,0,Invalid
OPP0191,Tabo Range,ACC013,U004,Negotiation,7222,7999,1022,8/28/2025,4/20/2025,Event,Existing,0.75,Valid
OPP0192,Tabo Dream,ACC017,U001,Closed Lost,6929,3328,4613,10/3/2025,12/31/2025,Referral,New,0,Invalid
OPP0193,Tabo Authority,ACC020,U001,Closed Lost,21305,21318,586,8/6/2025,5/16/2025,Cold Call,Existing,0,Valid
OPP0194,Tabo Beyond,ACC020,U003,Closed Won,8031,5304,3979,12/12/2025,9/25/2025,Web,New,1,Valid
OPP0195,Tabo Energy,ACC017,U006,Proposal,39645,36903,4213,4/7/2025,1/27/2026,Referral,Existing,0.5,Invalid
OPP0196,Tabo Range,ACC019,U004,Closed Won,24550,22416,2797,12/8/2025,1/6/2026,Email,New,1,Invalid
OPP0197,Tabo Impact,ACC010,U009,Negotiation,15354,12544,3598,3/3/2026,10/26/2025,Cold Call,Existing,0.75,Valid
OPP0198,Tabo Beyond,ACC010,U008,Proposal,49965,48331,2311,5/8/2025,8/12/2025,Web,New,0.5,Invalid
OPP0199,Tabo Dream,ACC020,U008,Proposal,26247,24557,1924,5/19/2025,11/13/2025,Referral,New,0.5,Invalid
OPP0200,Tabo Range,ACC020,U008,Closed Lost,45838,41712,4240,11/9/2025,6/4/2025,Email,New,0,Valid
OPP0201,Tabo Dream,ACC010,U007,Proposal,17927,18028,1171,12/3/2025,5/10/2025,Web,New,0.5,Valid
OPP0202,Tabo Impact,ACC020,U002,Closed Won,12079,10086,2631,2/1/2026,5/5/2025,Web,Existing,1,Valid
OPP0203,Tabo Cold,ACC010,U002,Negotiation,31477,28065,4381,9/28/2025,6/19/2025,Cold Call,Existing,0.75,Valid
OPP0204,Tabo Cold,ACC005,U002,Closed Lost,8869,8490,1661,2/1/2026,6/27/2025,Event,Existing,0,Valid
OPP0205,Tabo Energy,ACC020,U004,Negotiation,33448,32643,2284,12/3/2025,5/7/2025,Referral,Existing,0.75,Valid
OPP0206,Tabo Range,ACC017,U004,Negotiation,28882,26382,4215,2/15/2026,1/28/2026,Event,Existing,0.75,Valid
OPP0207,Tabo Impact,ACC020,U006,Closed Lost,22186,20779,1830,5/23/2025,2/2/2026,Event,New,0,Invalid
OPP0208,Tabo Range,ACC010,U007,Closed Lost,29667,26451,4511,7/17/2025,9/12/2025,Web,New,0,Invalid
OPP0209,Tabo Cold,ACC017,U004,Proposal,42238,40803,1661,6/23/2025,3/23/2025,Email,Existing,0.5,Valid
OPP0210,Tabo Impact,ACC010,U004,Proposal,33178,31081,2925,4/14/2025,11/10/2025,Cold Call,Existing,0.5,Invalid
OPP0211,Tabo Range,ACC015,U003,Closed Won,22001,18212,4237,6/11/2025,1/1/2026,Web,New,1,Invalid
